Hero,Rank,Win Rate,Equipment,Equipment Win Rate,Counters,Synergies
c1072,Ranking: 230 / 335,35.2,"{'0': ['set_cri_dmg', 'set_penetrate'], '1': ['set_cri', 'set_cri_dmg'], '2': ['set_cri', 'set_rage'], '3': ['set_penetrate', 'set_rage'], '4': ['set_cri', 'set_speed']}","{'0': '44.23', '1': '25', '2': '26.67', '3': '57.14', '4': '20'}","['c5110', 'c2011', 'c2112']","['c2018', 'c3124', 'c1103']"
c2101,Ranking: 15 / 335,54.83,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_max_hp', 'set_speed'], '2': ['set_cri', 'set_speed'], '3': ['set_immune', 'set_speed'], '4': ['set_res', 'set_speed']}","{'0': '54.43', '1': '55.51', '2': '56.06', '3': '56.35', '4': '55.99'}","['c5110', 'c2011', 'c2112']","['c2125', 'c5110', 'c2112']"
c5149,Ranking: 208 / 335,37.17,"{'0': ['set_max_hp', 'set_speed'], '1': ['set_acc', 'set_speed'], '2': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '3': ['set_immune', 'set_speed'], '4': ['set_speed']}","{'0': '36.74', '1': '50', '2': '37.04', '3': '38.3', '4': '43.75'}","['c5110', 'c2112', 'c2011']","['c1133', 'c5110', 'c2112']"
c6017,Ranking: 165 / 335,41.96,"{'0': ['set_res', 'set_speed'], '1': ['set_max_hp', 'set_speed'], '2': ['set_res', 'set_res', 'set_res'], '3': ['set_immune', 'set_speed'], '4': ['set_speed']}","{'0': '42.24', '1': '41.11', '2': '42.04', '3': '42.45', '4': '44.04'}","['c2066', 'c5110', 'c2112']","['c5110', 'c2011', 'c2112']"
c2053,Ranking: 158 / 335,42.36,"{'0': ['set_res', 'set_speed'], '1': ['set_immune', 'set_speed'], '2': ['set_speed'], '3': ['set_immune', 'set_max_hp', 'set_res'], '4': ['set_max_hp', 'set_speed']}","{'0': '44.57', '1': '35.6', '2': '42.53', '3': '46', '4': '40.82'}","['c2066', 'c5110', 'c2112']","['c1133', 'c5110', 'c2128']"
c3155,Ranking: 5 / 335,66.67,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c4044,Ranking: 212 / 335,36.8,"{'0': ['set_max_hp', 'set_speed'], '1': ['set_res', 'set_speed'], '2': ['set_max_hp', 'set_revenge'], '3': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '4': ['set_immune', 'set_max_hp', 'set_max_hp']}","{'0': '41.48', '1': '26.76', '2': '27.27', '3': '37.5', '4': '22.22'}","['c5110', 'c2011', 'c2112']","['c2070', 'c2113', 'c1008']"
c2006,Ranking: 70 / 335,48.76,"{'0': ['set_cri', 'set_speed'], '1': ['set_speed', 'set_torrent'], '2': ['set_speed'], '3': ['set_att', 'set_torrent'], '4': ['set_penetrate', 'set_speed']}","{'0': '47.65', '1': '61.96', '2': '42.08', '3': '62.62', '4': '44.74'}","['c5110', 'c2011', 'c2128']","['c1133', 'c1163', 'c1151']"
c2085,Ranking: 231 / 335,35.03,"{'0': ['set_speed'], '1': ['set_immune', 'set_speed'], '2': ['set_acc', 'set_speed'], '3': ['set_max_hp', 'set_speed'], '4': ['set_def', 'set_speed']}","{'0': '39.86', '1': '32.89', '2': '35.87', '3': '26.79', '4': '57.14'}","['c5110', 'c1104', 'c1153']","['c2011', 'c1103', 'c2128']"
c1130,Ranking: 51 / 335,50.5,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_cri', 'set_speed'], '2': ['set_cri_dmg', 'set_penetrate'], '3': ['set_att', 'set_penetrate'], '4': ['set_penetrate', 'set_rage']}","{'0': '51.21', '1': '47.46', '2': '47.22', '3': '41.26', '4': '52.38'}","['c5110', 'c2112', 'c2011']","['c1133', 'c5110', 'c1118']"
c1014,Ranking: 76 / 335,48.28,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_cri', 'set_speed'], '2': ['set_speed'], '3': ['set_acc', 'set_speed'], '4': ['set_speed', 'set_torrent']}","{'0': '49.32', '1': '47.27', '2': '41.01', '3': '60', '4': '56.52'}","['c2112', 'c5110', 'c2011']","['c5110', 'c1133', 'c2112']"
c5071,Ranking: 209 / 335,37.06,"{'0': ['set_cri', 'set_speed'], '1': ['set_cri', 'set_vampire'], '2': ['set_cri', 'set_cri_dmg'], '3': ['set_att', 'set_cri'], '4': ['set_immune', 'set_vampire']}","{'0': '30.47', '1': '46.53', '2': '31.25', '3': '49.15', '4': '38.36'}","['c5110', 'c2011', 'c2112']","['c1103', 'c5110', 'c2066']"
c1157,Ranking: 94 / 335,46.48,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_cri', 'set_speed'], '2': ['set_speed'], '3': ['set_speed', 'set_torrent'], '4': ['set_cri_dmg', 'set_penetrate']}","{'0': '47.53', '1': '45.69', '2': '42.09', '3': '40.58', '4': '47.54'}","['c5110', 'c2011', 'c2125']","['c2112', 'c1133', 'c2066']"
c3135,Ranking: 259 / 335,31.3,"{'0': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '1': ['set_counter', 'set_res'], '2': ['set_counter', 'set_max_hp'], '3': ['set_immune', 'set_shield'], '4': ['set_immune', 'set_speed']}","{'0': '38.46', '1': '27.27', '2': '40', '3': '9.09', '4': '20'}","['c1103', 'c2112', 'c1104']","['c2090', 'c2011', 'c2125']"
c1046,Ranking: 191 / 335,39.61,"{'0': ['set_acc', 'set_speed'], '1': ['set_speed'], '2': ['set_cri', 'set_speed'], '3': ['set_penetrate', 'set_speed'], '4': ['set_att', 'set_cri']}","{'0': '43.94', '1': '42.19', '2': '32.84', '3': '41.67', '4': '15.79'}","['c5110', 'c2011', 'c2112']","['c5046', 'c2046', 'c2110']"
c1128,Ranking: 149 / 335,43.01,"{'0': ['set_speed', 'set_torrent'], '1': ['set_immune', 'set_speed'], '2': ['set_speed'], '3': ['set_penetrate', 'set_speed'], '4': ['set_att', 'set_torrent']}","{'0': '44.77', '1': '45.45', '2': '35.71', '3': '48.39', '4': '35.9'}","['c1162', 'c1104', 'c5110']","['c2112', 'c5110', 'c2128']"
c3023,Ranking: 1 / 335,100,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c2049,Ranking: 120 / 335,44.71,"{'0': ['set_res', 'set_speed'], '1': ['set_max_hp', 'set_speed'], '2': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '3': ['set_counter', 'set_res'], '4': ['set_immune', 'set_speed']}","{'0': '43.42', '1': '45.08', '2': '55.38', '3': '50', '4': '40'}","['c5110', 'c2112', 'c2066']","['c2011', 'c1104', 'c2090']"
c3102,Ranking: 215 / 335,36.36,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c3124,Ranking: 203 / 335,38.3,"{'0': ['set_acc', 'set_speed'], '1': ['set_max_hp', 'set_speed'], '2': ['set_cri', 'set_speed'], '3': ['set_speed'], '4': ['set_def', 'set_revenge']}","{'0': '37.5', '1': '39.47', '2': '52.94', '3': '19.05', '4': '50'}","['c2011', 'c5110', 'c1104']","['c1072', 'c2018', 'c2102']"
c1170,Ranking: 159 / 335,42.25,"{'0': ['set_cri_dmg', 'set_max_hp'], '1': ['set_cri_dmg', 'set_penetrate'], '2': ['set_penetrate', 'set_speed'], '3': ['set_cri', 'set_cri_dmg'], '4': ['set_cri_dmg']}","{'0': '39.83', '1': '43.52', '2': '42.19', '3': '44.07', '4': '44.7'}","['c5110', 'c2112', 'c2011']","['c2112', 'c5110', 'c1162']"
c1033,Ranking: 291 / 335,20,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1134,Ranking: 38 / 335,51.57,"{'0': ['set_penetrate', 'set_scar'], '1': ['set_penetrate', 'set_speed'], '2': ['set_cri', 'set_scar'], '3': ['set_cri', 'set_speed'], '4': ['set_cri', 'set_vampire']}","{'0': '52.21', '1': '49.36', '2': '57.68', '3': '51.59', '4': '52.05'}","['c5110', 'c1153', 'c1104']","['c5110', 'c2112', 'c2128']"
c4041,Ranking: 285 / 335,22.5,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c3003,,,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1108,Ranking: 258 / 335,31.38,"{'0': ['set_att', 'set_penetrate'], '1': ['set_penetrate', 'set_speed'], '2': ['set_cri_dmg', 'set_penetrate'], '3': ['set_att', 'set_torrent'], '4': ['set_cri', 'set_speed']}","{'0': '29.31', '1': '36.36', '2': '39.29', '3': '25', '4': '23.08'}","['c2011', 'c2112', 'c5110']","['c5016', 'c2042', 'c1111']"
c1002,Ranking: 256 / 335,31.74,"{'0': ['set_acc', 'set_speed'], '1': ['set_max_hp', 'set_speed'], '2': ['set_max_hp', 'set_max_hp', 'set_penetrate'], '3': ['set_res', 'set_speed'], '4': ['set_def', 'set_def', 'set_max_hp']}","{'0': '32.17', '1': '32.86', '2': '18.75', '3': '75', '4': '25'}","['c5110', 'c1104', 'c2112']","['c1133', 'c2011', 'c1103']"
c1017,Ranking: 290 / 335,21.05,"{'0': ['set_max_hp', 'set_speed'], '1': ['set_res', 'set_speed'], '2': ['set_immune', 'set_speed'], '3': ['set_res', 'set_res', 'set_res'], '4': ['set_immune', 'set_res', 'set_res']}","{'0': '24.14', '1': '28.57', '2': '20', '3': '0', '4': '0'}","['c2128', 'c1153', 'c5110']","['c2070', 'c1154', 'c2128']"
c1035,Ranking: 187 / 335,40,"{'0': ['set_counter', 'set_cri'], '1': ['set_counter', 'set_max_hp'], '2': ['set_counter'], '3': ['set_cri_dmg'], '4': ['set_cri']}","{'0': '56.52', '1': '33.33', '2': '100', '3': '0', '4': '0'}","['c5110', 'c2011', 'c2125']","['c2016', 'c1171', 'c2126']"
c2039,Ranking: 28 / 335,52.64,"{'0': ['set_counter', 'set_max_hp'], '1': ['set_counter', 'set_res'], '2': ['set_counter', 'set_immune'], '3': ['set_max_hp', 'set_speed'], '4': ['set_counter', 'set_def']}","{'0': '53.03', '1': '53.69', '2': '53.5', '3': '48.04', '4': '59.08'}","['c5110', 'c2112', 'c2011']","['c5110', 'c2011', 'c2112']"
c3104,,,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c4001,Ranking: 294 / 335,18.49,"{'0': ['set_cri', 'set_vampire'], '1': ['set_cri', 'set_scar'], '2': ['set_att', 'set_cri'], '3': ['set_penetrate', 'set_vampire'], '4': ['set_counter', 'set_max_hp']}","{'0': '17.5', '1': '16.22', '2': '33.33', '3': '28.57', '4': '9.09'}","['c2011', 'c2112', 'c5110']","['c5016', 'c1070', 'c6008']"
c3160,Ranking: 278 / 335,25,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c2013,Ranking: 71 / 335,48.7,"{'0': ['set_acc', 'set_speed'], '1': ['set_counter', 'set_max_hp'], '2': ['set_acc', 'set_counter'], '3': ['set_max_hp', 'set_speed'], '4': ['set_max_hp', 'set_shield']}","{'0': '47.4', '1': '47.06', '2': '51.5', '3': '42.49', '4': '51.35'}","['c5110', 'c2011', 'c2112']","['c2125', 'c2074', 'c2112']"
c2012,Ranking: 200 / 335,38.46,"{'0': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '1': ['set_max_hp', 'set_speed'], '2': ['set_max_hp', 'set_max_hp', 'set_res'], '3': ['set_def', 'set_max_hp', 'set_max_hp'], '4': ['set_def', 'set_max_hp', 'set_res']}","{'0': '38.86', '1': '44.74', '2': '43.84', '3': '47.62', '4': '24'}","['c5110', 'c2112', 'c2011']","['c1104', 'c1162', 'c5004']"
c2046,Ranking: 84 / 335,47.41,"{'0': ['set_cri', 'set_speed'], '1': ['set_acc', 'set_speed'], '2': ['set_speed'], '3': ['set_att', 'set_cri'], '4': ['set_penetrate', 'set_speed']}","{'0': '47.01', '1': '50.11', '2': '45.38', '3': '45.45', '4': '51.72'}","['c5110', 'c2011', 'c2112']","['c1133', 'c2066', 'c2112']"
c2033,Ranking: 184 / 335,40.21,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}","['c2112', 'c5110', 'c1103']","['c2125', 'c2079', 'c6017']"
c1080,Ranking: 119 / 335,44.81,"{'0': ['set_cri', 'set_speed'], '1': ['set_speed'], '2': ['set_speed', 'set_torrent'], '3': ['set_penetrate', 'set_speed'], '4': ['set_immune', 'set_speed']}","{'0': '44.12', '1': '54', '2': '44', '3': '34.62', '4': '0'}","['c2011', 'c2112', 'c5110']","['c1133', 'c1038', 'c5110']"
c3101,Ranking: 310 / 335,0,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c3143,Ranking: 310 / 335,0,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c4003,Ranking: 289 / 335,21.15,"{'0': ['set_acc', 'set_speed'], '1': ['set_def', 'set_immune', 'set_max_hp'], '2': ['set_max_hp', 'set_speed'], '3': ['set_counter', 'set_def'], '4': ['set_acc', 'set_counter']}","{'0': '25', '1': '57.14', '2': '25', '3': '0', '4': '0'}","['c5110', 'c1104', 'c2112']","['c1162', 'c1091', 'c2112']"
c1152,Ranking: 253 / 335,32.31,"{'0': ['set_counter', 'set_cri'], '1': ['set_cri', 'set_speed'], '2': ['set_cri_dmg', 'set_penetrate'], '3': ['set_immune', 'set_speed'], '4': ['set_speed']}","{'0': '27.5', '1': '76.92', '2': '38.46', '3': '17.65', '4': '30'}","['c1055', 'c1103', 'c1104']","['c1148', 'c1144', 'c2112']"
c1158,Ranking: 250 / 335,32.86,"{'0': ['set_cri_dmg', 'set_penetrate'], '1': ['set_cri', 'set_cri_dmg'], '2': ['set_cri', 'set_speed'], '3': ['set_cri_dmg', 'set_torrent'], '4': ['set_penetrate', 'set_rage']}","{'0': '33.52', '1': '37.14', '2': '42.11', '3': '40', '4': '40'}","['c2011', 'c1162', 'c1104']","['c5110', 'c1133', 'c2106']"
c1132,Ranking: 236 / 335,34.31,"{'0': ['set_acc', 'set_speed'], '1': ['set_acc', 'set_counter'], '2': ['set_counter', 'set_res'], '3': ['set_max_hp', 'set_speed'], '4': ['set_max_hp', 'set_max_hp', 'set_max_hp']}","{'0': '33.12', '1': '39.36', '2': '32.14', '3': '44.44', '4': '30.43'}","['c2011', 'c5110', 'c1104']","['c1162', 'c1133', 'c5004']"
c4034,Ranking: 300 / 335,14.29,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1065,Ranking: 113 / 335,45.05,"{'0': ['set_cri', 'set_speed'], '1': ['set_penetrate', 'set_speed'], '2': ['set_speed'], '3': ['set_max_hp', 'set_shield'], '4': ['set_penetrate', 'set_rage']}","{'0': '51.72', '1': '50', '2': '41.18', '3': '66.67', '4': '30'}","['c2066', 'c5110', 'c2004']","['c5110', 'c1150', 'c2004']"
c5024,Ranking: 66 / 335,49.61,"{'0': ['set_acc', 'set_speed'], '1': ['set_speed'], '2': ['set_immune', 'set_speed'], '3': ['set_acc', 'set_att'], '4': ['set_cri', 'set_speed']}","{'0': '50.55', '1': '47.06', '2': '48.81', '3': '42.11', '4': '34.88'}","['c5110', 'c2011', 'c2112']","['c1133', 'c5110', 'c1118']"
c1115,Ranking: 280 / 335,24.59,"{'0': ['set_cri', 'set_cri_dmg'], '1': ['set_att', 'set_cri'], '2': ['set_penetrate', 'set_speed'], '3': ['set_cri', 'set_speed'], '4': ['set_att']}","{'0': '44.44', '1': '18.75', '2': '16.67', '3': '20', '4': '33.33'}","['c5110', 'c1133', 'c2011']","['c1133', 'c5110', 'c1162']"
c1102,Ranking: 83 / 335,47.53,"{'0': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '1': ['set_max_hp', 'set_speed'], '2': ['set_max_hp', 'set_max_hp', 'set_res'], '3': ['set_res', 'set_speed'], '4': ['set_max_hp', 'set_shield']}","{'0': '48.58', '1': '49.94', '2': '42.4', '3': '46.8', '4': '41.43'}","['c5110', 'c1153', 'c1104']","['c5110', 'c1162', 'c1104']"
c1086,Ranking: 218 / 335,36.27,"{'0': ['set_cri', 'set_speed'], '1': ['set_acc', 'set_speed'], '2': ['set_speed'], '3': ['set_penetrate', 'set_speed'], '4': ['set_max_hp', 'set_speed']}","{'0': '31.82', '1': '56.67', '2': '50', '3': '17.39', '4': '50'}","['c2112', 'c1104', 'c1133']","['c4004', 'c1142', 'c2103']"
c3157,Ranking: 199 / 335,38.54,"{'0': ['set_acc', 'set_speed'], '1': ['set_speed'], '2': ['set_speed', 'set_torrent'], '3': ['set_cri', 'set_speed'], '4': ['set_max_hp', 'set_speed']}","{'0': '42.86', '1': '57.89', '2': '23.08', '3': '60', '4': '33.33'}","['c5110', 'c2011', 'c2112']","['c2066', 'c5046', 'c1118']"
c3013,Ranking: 55 / 335,50,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c4035,Ranking: 304 / 335,13.04,"{'0': ['set_penetrate', 'set_rage'], '1': ['set_att', 'set_cri'], '2': ['set_penetrate'], '3': ['set_cri', 'set_cri_dmg'], '4': ['set_cri', 'set_rage']}","{'0': '25', '1': '33.33', '2': '100', '3': '0', '4': '0'}",[],[]
c1076,Ranking: 92 / 335,46.84,"{'0': ['set_res', 'set_speed'], '1': ['set_max_hp', 'set_speed'], '2': ['set_speed'], '3': ['set_immune', 'set_speed'], '4': ['set_max_hp', 'set_res', 'set_res']}","{'0': '47.18', '1': '44.72', '2': '47.17', '3': '50.74', '4': '48.67'}","['c5110', 'c2112', 'c2011']","['c5110', 'c1171', 'c1103']"
c2004,Ranking: 80 / 335,47.91,"{'0': ['set_speed'], '1': ['set_acc', 'set_speed'], '2': ['set_immune', 'set_speed'], '3': ['set_cri', 'set_speed'], '4': ['set_max_hp', 'set_speed']}","{'0': '47.13', '1': '47.39', '2': '55.82', '3': '47.7', '4': '55'}","['c5110', 'c2112', 'c1133']","['c2112', 'c1142', 'c5110']"
c4103,Ranking: 297 / 335,16.67,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c3075,Ranking: 205 / 335,37.5,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}","['c5110', 'c2106', 'c2011']","['c3074', 'c4071', 'c1091']"
c1003,Ranking: 41 / 335,51.28,"{'0': ['set_def', 'set_max_hp'], '1': ['set_acc', 'set_speed'], '2': ['set_def', 'set_speed'], '3': ['set_max_hp', 'set_speed'], '4': ['set_speed']}","{'0': '62.22', '1': '63.33', '2': '30.77', '3': '44.44', '4': '50'}","['c5110', 'c2112', 'c2011']","['c2128', 'c1022', 'c1153']"
c3045,Ranking: 200 / 335,38.46,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1024,Ranking: 269 / 335,28.57,"{'0': ['set_acc', 'set_speed'], '1': ['set_max_hp', 'set_speed'], '2': ['set_acc'], '3': ['set_speed'], '4': ['set_cri', 'set_speed']}","{'0': '28.57', '1': '60', '2': '100', '3': '0', '4': '0'}","['c5110', 'c2011', 'c2066']","['c2017', 'c2103', 'c1133']"
c1018,,,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c2069,Ranking: 12 / 335,55.63,"{'0': ['set_speed', 'set_torrent'], '1': ['set_cri', 'set_speed'], '2': ['set_penetrate', 'set_speed'], '3': ['set_cri_dmg', 'set_torrent'], '4': ['set_cri_dmg', 'set_penetrate']}","{'0': '57.75', '1': '55.1', '2': '52.27', '3': '48.26', '4': '51.75'}","['c5110', 'c2011', 'c2112']","['c1133', 'c2066', 'c5110']"
c3113,Ranking: 310 / 335,0,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c3123,Ranking: 196 / 335,39.02,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c3014,Ranking: 214 / 335,36.41,"{'0': ['set_penetrate', 'set_vampire'], '1': ['set_speed', 'set_torrent'], '2': ['set_cri', 'set_vampire'], '3': ['set_cri', 'set_speed'], '4': ['set_penetrate', 'set_speed']}","{'0': '38.46', '1': '58.33', '2': '10.53', '3': '100', '4': '33.33'}","['c5110', 'c2011', 'c2112']","['c2112', 'c2066', 'c6017']"
c2110,Ranking: 50 / 335,50.57,"{'0': ['set_acc', 'set_speed'], '1': ['set_speed'], '2': ['set_immune', 'set_speed'], '3': ['set_max_hp', 'set_speed'], '4': ['set_cri', 'set_speed']}","{'0': '50.97', '1': '50.27', '2': '51.07', '3': '52.94', '4': '32'}","['c5110', 'c2011', 'c2112']","['c1133', 'c5110', 'c2125']"
c1122,Ranking: 124 / 335,44.46,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_penetrate', 'set_vampire'], '2': ['set_cri', 'set_speed'], '3': ['set_counter', 'set_penetrate'], '4': ['set_cri_dmg', 'set_penetrate']}","{'0': '48.54', '1': '35.03', '2': '41.57', '3': '45.12', '4': '40.48'}","['c5110', 'c2011', 'c1104']","['c1133', 'c2112', 'c5110']"
c2080,Ranking: 166 / 335,41.53,"{'0': ['set_cri', 'set_cri_dmg'], '1': ['set_att', 'set_cri'], '2': ['set_cri_dmg', 'set_torrent'], '3': ['set_cri_dmg', 'set_penetrate'], '4': ['set_att', 'set_penetrate']}","{'0': '41.41', '1': '40.73', '2': '48.73', '3': '33.94', '4': '48.78'}","['c2011', 'c5110', 'c2112']","['c1118', 'c1133', 'c5110']"
c1139,Ranking: 221 / 335,36.02,"{'0': ['set_cri', 'set_speed'], '1': ['set_acc', 'set_speed'], '2': ['set_speed'], '3': ['set_immune', 'set_speed'], '4': ['set_speed', 'set_torrent']}","{'0': '39.89', '1': '31.25', '2': '41.44', '3': '50', '4': '23.53'}","['c2112', 'c5110', 'c2011']","['c1103', 'c5110', 'c2066']"
c3031,Ranking: 5 / 335,66.67,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c4013,Ranking: 215 / 335,36.36,"{'0': ['set_speed'], '1': ['set_speed', 'set_torrent'], '2': ['set_max_hp', 'set_speed'], '3': ['set_penetrate', 'set_speed'], '4': ['set_cri', 'set_speed']}","{'0': '33.33', '1': '50', '2': '50', '3': '100', '4': '0'}",[],[]
c1019,Ranking: 95 / 335,46.4,"{'0': ['set_counter', 'set_penetrate'], '1': ['set_counter', 'set_max_hp'], '2': ['set_cri_dmg', 'set_penetrate'], '3': ['set_penetrate', 'set_speed'], '4': ['set_cri_dmg', 'set_max_hp']}","{'0': '47.28', '1': '46.25', '2': '50', '3': '47.09', '4': '50.31'}","['c1104', 'c1162', 'c5110']","['c5110', 'c2112', 'c1153']"
c5046,Ranking: 39 / 335,51.37,"{'0': ['set_max_hp', 'set_speed'], '1': ['set_acc', 'set_speed'], '2': ['set_speed'], '3': ['set_max_hp', 'set_rage'], '4': ['set_immune', 'set_speed']}","{'0': '51.02', '1': '52.54', '2': '51.39', '3': '43.78', '4': '58.33'}","['c5110', 'c2011', 'c2112']","['c1133', 'c1153', 'c5110']"
c1027,Ranking: 263 / 335,30.3,"{'0': ['set_cri', 'set_speed'], '1': ['set_counter', 'set_penetrate'], '2': ['set_cri_dmg', 'set_max_hp'], '3': ['set_counter', 'set_immune'], '4': ['set_penetrate', 'set_vampire']}","{'0': '27.27', '1': '40', '2': '33.33', '3': '50', '4': '100'}","['c5110', 'c1104', 'c2011']","['c1162', 'c5110', 'c1133']"
c1001,,,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c2099,Ranking: 54 / 335,50.22,"{'0': ['set_cri', 'set_speed'], '1': ['set_speed', 'set_torrent'], '2': ['set_speed'], '3': ['set_acc', 'set_speed'], '4': ['set_penetrate', 'set_speed']}","{'0': '49.02', '1': '55.26', '2': '50', '3': '46.67', '4': '33.33'}","['c5110', 'c2011', 'c2112']","['c1133', 'c5110', 'c2066']"
c2021,Ranking: 275 / 335,26.22,"{'0': ['set_cri', 'set_speed'], '1': ['set_res', 'set_speed'], '2': ['set_acc', 'set_speed'], '3': ['set_cri', 'set_cri_dmg'], '4': ['set_counter', 'set_penetrate']}","{'0': '32.31', '1': '28.36', '2': '50', '3': '33.33', '4': '0'}","['c2011', 'c1055', 'c5110']","['c1069', 'c4123', 'c2049']"
c1092,Ranking: 239 / 335,33.33,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_cri_dmg', 'set_penetrate'], '2': ['set_cri', 'set_cri_dmg'], '3': ['set_cri', 'set_speed'], '4': ['set_speed']}","{'0': '83.33', '1': '33.33', '2': '25', '3': '33.33', '4': '0'}","['c2011', 'c5110', 'c2112']","['c1104', 'c1162', 'c2112']"
c4004,Ranking: 142 / 335,43.21,"{'0': ['set_max_hp', 'set_speed'], '1': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '2': ['set_res', 'set_speed'], '3': ['set_counter', 'set_max_hp'], '4': ['set_max_hp', 'set_max_hp', 'set_res']}","{'0': '43.16', '1': '39.11', '2': '48.17', '3': '47.22', '4': '42.86'}","['c5110', 'c2011', 'c1104']","['c5110', 'c1103', 'c2011']"
c2113,Ranking: 11 / 335,55.96,"{'0': ['set_cri_dmg', 'set_penetrate'], '1': ['set_counter', 'set_max_hp'], '2': ['set_counter', 'set_penetrate'], '3': ['set_cri_dmg', 'set_immune'], '4': ['set_cri_dmg', 'set_max_hp']}","{'0': '59.81', '1': '52.72', '2': '56.66', '3': '58.37', '4': '57.5'}","['c5110', 'c2112', 'c2011']","['c5110', 'c2128', 'c2112']"
c1023,Ranking: 170 / 335,41.03,"{'0': ['set_counter', 'set_res'], '1': ['set_counter', 'set_immune'], '2': ['set_counter', 'set_cri'], '3': ['set_penetrate', 'set_speed'], '4': ['set_cri', 'set_speed']}","{'0': '42.09', '1': '40.15', '2': '44.18', '3': '44.24', '4': '48.08'}","['c5110', 'c2011', 'c2112']","['c2011', 'c5110', 'c2112']"
c2035,Ranking: 260 / 335,30.77,"{'0': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '1': ['set_immune', 'set_speed'], '2': ['set_max_hp', 'set_shield'], '3': ['set_max_hp', 'set_max_hp'], '4': ['set_res', 'set_res']}","{'0': '13.64', '1': '50', '2': '66.67', '3': '66.67', '4': '100'}","['c1133', 'c5110', 'c1104']","['c2112', 'c1142', 'c2024']"
c1021,Ranking: 55 / 335,50,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c3164,Ranking: 310 / 335,0,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c3121,Ranking: 310 / 335,0,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
