Hero,Rank,Win Rate,Equipment,Equipment Win Rate,Counters,Synergies
c3158,Ranking: 93 / 335,46.67,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c3004,Ranking: 1 / 335,100,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1119,Ranking: 169 / 335,41.19,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_speed'], '2': ['set_cri', 'set_speed'], '3': ['set_speed', 'set_torrent'], '4': ['set_immune', 'set_speed']}","{'0': '42.42', '1': '40.46', '2': '28.91', '3': '38.1', '4': '44.12'}","['c5110', 'c2011', 'c2112']","['c1133', 'c5110', 'c2011']"
c3063,Ranking: 299 / 335,15.38,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c3156,Ranking: 310 / 335,0,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c3094,Ranking: 223 / 335,35.9,"{'0': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '1': ['set_max_hp', 'set_shield'], '2': ['set_shield'], '3': ['set_cri', 'set_def'], '4': ['set_res', 'set_shield']}","{'0': '27.27', '1': '57.14', '2': '50', '3': '100', '4': '100'}","['c1104', 'c5110', 'c1153']","['c5016', 'c2128', 'c2070']"
c1048,Ranking: 172 / 335,40.98,"{'0': ['set_acc', 'set_speed'], '1': ['set_speed'], '2': ['set_cri', 'set_speed'], '3': ['set_acc'], '4': ['set_immune']}","{'0': '43.1', '1': '42.55', '2': '21.43', '3': '100', '4': '100'}","['c5110', 'c2011', 'c2112']","['c1118', 'c5110', 'c2011']"
c3131,Ranking: 310 / 335,0,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c2002,Ranking: 99 / 335,46.06,"{'0': ['set_immune', 'set_speed'], '1': ['set_max_hp', 'set_speed'], '2': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '3': ['set_res', 'set_speed'], '4': ['set_cri', 'set_speed']}","{'0': '44.03', '1': '48.55', '2': '51.64', '3': '46.51', '4': '44.44'}","['c5110', 'c2011', 'c2112']","['c2125', 'c2112', 'c5110']"
c1131,Ranking: 82 / 335,47.75,"{'0': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '1': ['set_max_hp', 'set_speed'], '2': ['set_counter', 'set_max_hp'], '3': ['set_max_hp', 'set_max_hp', 'set_res'], '4': ['set_max_hp']}","{'0': '47.78', '1': '48.52', '2': '43.5', '3': '43.2', '4': '53.13'}","['c5110', 'c2112', 'c2011']","['c1162', 'c1104', 'c5110']"
c1121,Ranking: 98 / 335,46.11,"{'0': ['set_immune', 'set_speed'], '1': ['set_penetrate', 'set_speed'], '2': ['set_cri', 'set_immune', 'set_penetrate'], '3': ['set_cri', 'set_speed'], '4': ['set_res', 'set_speed']}","{'0': '44.57', '1': '43', '2': '48.24', '3': '52.54', '4': '43.8'}","['c2011', 'c5110', 'c2112']","['c5110', 'c1162', 'c2112']"
