Hero,Winrate,Pick Rate,Counter1,Counter1_Wins,Counter2,Counter2_Wins,Counter3,Counter3_Wins,Pick1,Pick1_Count,Pick2,Pick2_Count,Pick3,Pick3_Count,CounteredBy1,CounteredBy1_Count,CounteredBy2,CounteredBy2_Count,CounteredBy3,CounteredBy3_Count
c1130,0.6391752577319587,0.010319148936170213,c5110,39,c2125,24,c2095,23,c2128,49,c2024,42,c1133,33,c2090,46,c2125,42,c5110,38
c6011,0.6774193548387096,0.003297872340425532,c1151,17,c1159,16,c2090,12,c2113,17,c2128,9,c2090,9,c1151,19,c2113,18,c2090,17
c1163,0.6161137440758294,0.022446808510638298,c2113,76,c2125,73,c2128,61,c2011,150,c1150,108,c2066,100,c2113,117,c1117,99,c2125,90
c5110,0.630216587427364,0.20138297872340424,c2125,656,c2090,450,c2011,443,c2090,393,c2125,361,c1162,295,c2125,730,c2090,530,c2011,459
c1139,0.5,0.000851063829787234,c2090,5,c1162,5,c2101,4,c1060,5,c2113,4,c1159,3,c2113,6,c2090,5,c1159,4
c1125,0.55,0.029787234042553193,c2125,95,c2011,79,c1150,69,c5110,131,c2128,111,c2102,58,c2066,72,c2011,71,c2125,70
c2047,0.6705882352941176,0.009042553191489361,c1150,57,c2125,36,c1142,29,c1156,28,c5110,26,c2090,26,c1142,18,c2011,16,c2125,15
c2073,0.5306122448979592,0.010425531914893617,c2113,37,c1162,35,c1153,35,c2090,42,c2113,27,c2125,21,c2113,57,c1153,50,c1162,49
c2111,0.5594713656387665,0.048297872340425534,c5110,402,c2125,97,c2090,96,c2090,149,c2125,142,c2128,107,c5110,344,c2090,88,c1162,74
c5024,0.5064935064935064,0.008191489361702128,c2125,31,c5110,28,c2095,23,c1104,31,c1133,30,c5110,27,c2125,30,c2011,30,c1117,26
c5050,0.8,0.0005319148936170213,c2039,3,c2090,3,c2066,2,c2113,3,c2126,3,c2125,2,c2090,4,c2101,3,c2113,3
c1121,0.5151515151515151,0.0035106382978723405,c5089,15,c1103,13,c2066,11,c2090,13,c2101,9,c2039,9,c2125,10,c5089,9,c1055,6
c1147,0.6571428571428571,0.003723404255319149,c2113,20,c2090,18,c1162,14,c1159,35,c1151,33,c2125,28,c2113,15,c2090,14,c1162,9
c2089,0.48484848484848486,0.0035106382978723405,c2090,14,c1159,11,c5110,11,c2125,12,c2090,10,c1150,9,c2090,30,c1159,20,c2125,20
c2088,0.4578313253012048,0.008829787234042553,c2066,39,c2090,39,c2125,25,c2128,33,c2113,33,c2090,20,c2090,42,c2066,28,c2113,24
c2048,0.5798319327731093,0.012659574468085107,c2113,43,c2095,34,c2125,32,c5110,52,c2128,44,c1125,40,c2113,46,c2090,30,c1117,27
c1140,-1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,c2090,1,c2113,1,c1156,1
c1123,0.0,0.00010638297872340425,c5110,1,c2074,1,c2125,1,c2090,1,c2113,1,c1156,1,-1,-1,-1,-1,-1,-1
c1112,0.616,0.0398936170212766,c2125,171,c2011,138,c2112,133,c5110,111,c2066,89,c2125,84,c2125,189,c1150,120,c2011,114
c1122,0.6538461538461539,0.0027659574468085106,c1103,19,c2090,15,c1162,14,c2125,14,c2113,8,c2090,7,c1103,19,c2113,12,c1162,11
c2020,0.625,0.001702127659574468,c2128,9,c2004,7,c5004,6,c2125,9,c1150,8,c5110,5,c2128,20,c2004,12,c5004,11
c1137,0.6904761904761905,0.008936170212765958,c1150,34,c1142,33,c5110,32,c2128,25,c2125,23,c2066,22,c1150,32,c1142,26,c5110,24
c1134,0.5826086956521739,0.01223404255319149,c1153,42,c2125,28,c2024,22,c2113,34,c5110,30,c2090,27,c1153,42,c2113,24,c5110,24
