Match Number,Pick Order,Match Result,Team,Hero,First Pick
22,7,Win,My Team,c1022,0
22,10,Win,My Team,c2042,0
22,1,Loss,Enemy Team,c1133,1
22,4,Loss,Enemy Team,c1118,1
22,5,Loss,Enemy Team,c2069,1
22,8,Loss,Enemy Team,c2102,1
22,9,Loss,Enemy Team,c1163,1
23,1,Win,My Team,c2066,1
23,4,Win,My Team,c2113,1
23,5,Win,My Team,c1103,1
23,8,Win,My Team,c1150,1
23,9,Win,My Team,c1091,1
23,2,Loss,Enemy Team,c2112,0
23,3,Loss,Enemy Team,c4158,0
23,6,Loss,Enemy Team,c2024,0
23,7,Loss,Enemy Team,c2011,0
23,10,Loss,Enemy Team,c2102,0
24,1,Loss,My Team,c2066,1
24,4,Loss,My Team,c1159,1
24,5,Loss,My Team,c5110,1
24,8,Loss,My Team,c6062,1
24,9,Loss,My Team,c1151,1
24,2,Win,Enemy Team,c2113,0
24,3,Win,Enemy Team,c2070,0
24,6,Win,Enemy Team,c2111,0
24,7,Win,Enemy Team,c1100,0
24,10,Win,Enemy Team,c2088,0
25,1,Win,My Team,c2113,1
25,4,Win,My Team,c2070,1
25,5,Win,My Team,c2111,1
25,8,Win,My Team,c4158,1
25,9,Win,My Team,c2011,1
25,2,Loss,Enemy Team,c5110,0
25,3,Loss,Enemy Team,c2095,0
25,6,Loss,Enemy Team,c1153,0
25,7,Loss,Enemy Team,c2007,0
25,10,Loss,Enemy Team,c1055,0
26,2,Loss,My Team,c2066,0
26,3,Loss,My Team,c5110,0
26,6,Loss,My Team,c2102,0
26,7,Loss,My Team,c2048,0
26,10,Loss,My Team,c1118,0
26,1,Win,Enemy Team,c2113,1
26,4,Win,Enemy Team,c1159,1
26,5,Win,Enemy Team,c2039,1
26,8,Win,Enemy Team,c2016,1
26,9,Win,Enemy Team,c2088,1
27,2,Win,My Team,c2066,0
27,3,Win,My Team,c2112,0
27,6,Win,My Team,c2004,0
27,7,Win,My Team,c1014,0
27,10,Win,My Team,c2102,0
27,1,Loss,Enemy Team,c2095,1
27,4,Loss,Enemy Team,c1150,1
